name,0hr,2hr,6hr,12hr,class
ENSMUSG00000007777.9,522.905537967,452.9779049692,320.2716305991,441.7169632414,4
ENSMUSG00000043644.4,61.0548839058,100.7726176253,47.8910849494,53.4814260427,4
ENSMUSG00000046683.16,2.9542685761,0,0,1.9807935571,3
ENSMUSG00000099146.7,7.8780495362,0,1.9954618729,8.9135710071,4
ENSMUSG00000097222.2,2.9542685761,1.9954973787,3.9909237458,1.9807935571,4
ENSMUSG00000097616.7,106.3536687391,75.8289003913,75.8275511699,58.4334099355,4
ENSMUSG00000099098.4,11.8170743043,5.9864921362,11.9727712374,1.9807935571,4
ENSMUSG00000050088.9,1654.3904026076,1851.8215674513,1085.5312588532,1324.1604929455,4
ENSMUSG00000102000.6,1.9695123841,0,0,0.9903967786,3
ENSMUSG00000103452.1,4.9237809601,0,0,0,3
ENSMUSG00000100010.5,0,0,0,0.9903967786,2
ENSMUSG00000110424.1,85.6737887065,59.8649213616,52.8797396316,45.5582518141,4
ENSMUSG00000102737.1,2.9542685761,3.9909947574,1.9954618729,0.9903967786,4
ENSMUSG00000052794.13,516.9970008149,524.8158106031,386.1218724046,460.5345020341,4
ENSMUSG00000103840.1,0,0,3.9909237458,0,0
ENSMUSG00000102356.1,0,3.9909947574,0,0,1
ENSMUSG00000100837.7,0,0,0,4.9519838928,2
ENSMUSG00000087204.1,0,0,0.9977309364,0,0
ENSMUSG00000032611.9,9.8475619203,15.9639790298,4.9886546822,10.8943645642,4
ENSMUSG00000099794.1,2.9542685761,0,0,1.9807935571,3
ENSMUSG00000089997.2,0,1.9954973787,0,2.9711903357,2
ENSMUSG00000097101.3,7.8780495362,17.9594764085,0,4.9519838928,1
ENSMUSG00000042041.7,1.9695123841,1.9954973787,0,0,4
ENSMUSG00000030587.5,139.835379268,211.5227221442,138.684600166,61.4046002712,4
ENSMUSG00000101791.1,20.6798800326,6.9842408255,8.979578428,1.9807935571,4
ENSMUSG00000066175.2,19.6951238406,8.9797382042,12.9705021738,14.8559516785,4
ENSMUSG00000052419.7,1350.1007392708,1516.5780078265,854.0576815977,927.0113847397,4
ENSMUSG00000087013.7,0.984756192,15.9639790298,0.9977309364,6.93277745,1
ENSMUSG00000049916.12,103.399400163,35.9189528169,89.7957842801,106.9628520854,4
ENSMUSG00000024273.8,325.9542995614,340.2323030716,315.2829759169,354.5620467274,4
ENSMUSG00000020491.15,248.1585603911,334.2458109354,227.4826535097,298.109430349,4
ENSMUSG00000114656.1,0,0,1.9954618729,0,0
ENSMUSG00000070282.6,111.2774496992,72.8356543232,93.7867080259,98.0492810782,4
ENSMUSG00000085622.9,127.0335487717,95.7838741785,145.6687167211,136.6747554424,4
ENSMUSG00000073590.3,5.9085371522,8.9797382042,3.9909237458,10.8943645642,4
ENSMUSG00000038917.4,2.9542685761,0,3.9909237458,0,0
ENSMUSG00000090031.2,170.3628212209,154.6510468507,92.7889770895,148.5595167852,4
ENSMUSG00000032057.9,285.5792956882,272.3853921951,177.5961066874,514.0159280768,4
ENSMUSG00000021101.2,0,1.9954973787,0,0,1
ENSMUSG00000086221.1,0,1.9954973787,0,0,1
ENSMUSG00000087205.1,0,0,0,0.9903967786,2
ENSMUSG00000021098.14,5.9085371522,28.9347119914,3.9909237458,14.8559516785,4
ENSMUSG00000112762.1,0,0,0,0.9903967786,2
ENSMUSG00000085788.1,0,0,3.9909237458,0,0
ENSMUSG00000107567.1,0,0.9977486894,3.9909237458,8.9135710071,2
ENSMUSG00000085956.1,40.3750038732,54.8761779148,24.9432734111,25.7503162428,4
ENSMUSG00000044906.6,708.0397020684,948.8590035809,1563.4443774108,2477.9727399773,4
ENSMUSG00000108187.1,0,0,0,4.9519838928,2
ENSMUSG00000097627.2,1.9695123841,0,0,0,3
ENSMUSG00000097602.2,2.9542685761,1.9954973787,0,0,3
ENSMUSG00000118392.1,0,3.9909947574,0,0,1
ENSMUSG00000005131.4,7.8780495362,22.9482198553,3.9909237458,35.6542840284,4
ENSMUSG00000046180.11,6.8932933442,6.9842408255,5.9863856187,0,4
ENSMUSG00000084971.1,1.9695123841,1.9954973787,0,7.9231742285,2
ENSMUSG00000046085.7,28.5579295688,15.9639790298,20.9523496654,7.9231742285,4
ENSMUSG00000115845.1,0,0,0,1.9807935571,2
ENSMUSG00000110427.1,0,0.9977486894,0,0,1
ENSMUSG00000069713.2,11.8170743043,24.943717234,4.9886546822,6.93277745,4
ENSMUSG00000087396.7,262.9299032716,284.3583764675,175.6006448145,209.9641170564,4
ENSMUSG00000086443.1,1.9695123841,3.9909947574,7.9818474916,8.9135710071,4
ENSMUSG00000105203.1,1.9695123841,1.9954973787,0,0,4
ENSMUSG00000097786.3,0,3.9909947574,0,0.9903967786,1
