,name
0,ENSMUSG00000109644.1
1,ENSMUSG00000007777.9
2,ENSMUSG00000086714.1
3,ENSMUSG00000043644.4
4,ENSMUSG00000042208.15
5,ENSMUSG00000020831.18
6,ENSMUSG00000089755.1
7,ENSMUSG00000107002.1
8,ENSMUSG00000046683.16
9,ENSMUSG00000058706.5
10,ENSMUSG00000099146.7
11,ENSMUSG00000097882.2
12,ENSMUSG00000058812.2
13,ENSMUSG00000089889.2
14,ENSMUSG00000087341.4
15,ENSMUSG00000060512.7
16,ENSMUSG00000087361.7
17,ENSMUSG00000097863.1
18,ENSMUSG00000097222.2
19,ENSMUSG00000115547.1
20,ENSMUSG00000090066.2
21,ENSMUSG00000097134.2
22,ENSMUSG00000071456.6
23,ENSMUSG00000102531.1
24,ENSMUSG00000106291.1
25,ENSMUSG00000030663.12
26,ENSMUSG00000107121.1
27,ENSMUSG00000039195.4
28,ENSMUSG00000045237.5
29,ENSMUSG00000116164.1
30,ENSMUSG00000028441.12
31,ENSMUSG00000085151.7
32,ENSMUSG00000112289.1
33,ENSMUSG00000097616.7
34,ENSMUSG00000097047.2
35,ENSMUSG00000103520.1
36,ENSMUSG00000099139.1
37,ENSMUSG00000037971.10
38,ENSMUSG00000099098.4
39,ENSMUSG00000092203.7
40,ENSMUSG00000063236.6
41,ENSMUSG00000085457.3
42,ENSMUSG00000040591.18
43,ENSMUSG00000035171.9
44,ENSMUSG00000032551.7
45,ENSMUSG00000078570.10
46,ENSMUSG00000111857.1
47,ENSMUSG00000043687.15
48,ENSMUSG00000063320.11
49,ENSMUSG00000087684.1
50,ENSMUSG00000097290.9
51,ENSMUSG00000112545.1
52,ENSMUSG00000033688.10
53,ENSMUSG00000096221.3
54,ENSMUSG00000097595.2
55,ENSMUSG00000098912.7
56,ENSMUSG00000104888.1
57,ENSMUSG00000072694.8
58,ENSMUSG00000098702.1
59,ENSMUSG00000097383.1
60,ENSMUSG00000117718.1
61,ENSMUSG00000043747.12
62,ENSMUSG00000117232.1
63,ENSMUSG00000035595.6
64,ENSMUSG00000101585.6
65,ENSMUSG00000050088.9
66,ENSMUSG00000054676.15
67,ENSMUSG00000102505.1
68,ENSMUSG00000099429.1
69,ENSMUSG00000097048.7
70,ENSMUSG00000117315.1
71,ENSMUSG00000104986.1
72,ENSMUSG00000085114.1
73,ENSMUSG00000110340.1
74,ENSMUSG00000057818.8
75,ENSMUSG00000047150.8
76,ENSMUSG00000099419.1
77,ENSMUSG00000085984.7
78,ENSMUSG00000103746.1
79,ENSMUSG00000095040.2
80,ENSMUSG00000101963.2
81,ENSMUSG00000056508.6
82,ENSMUSG00000118314.1
83,ENSMUSG00000075511.9
84,ENSMUSG00000021534.8
85,ENSMUSG00000044320.14
86,ENSMUSG00000018543.8
87,ENSMUSG00000030030.5
88,ENSMUSG00000038523.10
89,ENSMUSG00000087621.7
90,ENSMUSG00000085389.7
91,ENSMUSG00000102463.1
92,ENSMUSG00000102000.6
93,ENSMUSG00000034764.15
94,ENSMUSG00000116556.1
95,ENSMUSG00000086330.7
96,ENSMUSG00000026831.16
97,ENSMUSG00000097318.2
98,ENSMUSG00000103452.1
99,ENSMUSG00000104872.1
100,ENSMUSG00000101225.1
101,ENSMUSG00000008028.15
102,ENSMUSG00000028287.4
103,ENSMUSG00000057047.5
104,ENSMUSG00000099958.1
105,ENSMUSG00000115752.1
106,ENSMUSG00000067101.5
107,ENSMUSG00000100010.5
108,ENSMUSG00000023873.13
109,ENSMUSG00000100314.6
110,ENSMUSG00000085102.1
111,ENSMUSG00000030636.15
112,ENSMUSG00000108800.1
113,ENSMUSG00000108791.1
114,ENSMUSG00000031682.5
115,ENSMUSG00000085470.1
116,ENSMUSG00000110424.1
117,ENSMUSG00000102069.1
118,ENSMUSG00000027886.7
119,ENSMUSG00000054727.2
120,ENSMUSG00000106586.1
121,ENSMUSG00000051054.4
122,ENSMUSG00000113696.1
123,ENSMUSG00000079666.8
124,ENSMUSG00000094445.7
125,ENSMUSG00000110335.1
126,ENSMUSG00000097671.2
127,ENSMUSG00000102737.1
128,ENSMUSG00000108979.1
129,ENSMUSG00000015962.5
130,ENSMUSG00000100625.7
131,ENSMUSG00000029320.11
132,ENSMUSG00000111103.1
133,ENSMUSG00000114563.1
134,ENSMUSG00000085609.1
135,ENSMUSG00000032300.7
136,ENSMUSG00000056912.12
137,ENSMUSG00000038408.14
138,ENSMUSG00000107368.1
139,ENSMUSG00000100075.1
140,ENSMUSG00000046145.7
141,ENSMUSG00000110709.1
142,ENSMUSG00000060715.9
143,ENSMUSG00000109102.1
144,ENSMUSG00000113770.1
145,ENSMUSG00000043629.12
146,ENSMUSG00000086202.1
147,ENSMUSG00000111639.1
148,ENSMUSG00000026931.10
149,ENSMUSG00000027409.5
150,ENSMUSG00000100937.1
151,ENSMUSG00000110052.1
152,ENSMUSG00000035085.5
153,ENSMUSG00000050844.5
154,ENSMUSG00000019797.11
155,ENSMUSG00000086890.1
156,ENSMUSG00000087343.1
157,ENSMUSG00000096796.1
158,ENSMUSG00000112581.1
159,ENSMUSG00000099360.1
160,ENSMUSG00000028451.12
161,ENSMUSG00000097523.2
162,ENSMUSG00000117050.1
163,ENSMUSG00000020940.13
164,ENSMUSG00000089827.1
165,ENSMUSG00000052334.11
166,ENSMUSG00000099994.1
167,ENSMUSG00000113825.1
168,ENSMUSG00000032666.16
169,ENSMUSG00000090200.1
170,ENSMUSG00000086379.7
171,ENSMUSG00000097716.1
172,ENSMUSG00000114681.1
173,ENSMUSG00000084864.1
174,ENSMUSG00000101968.6
175,ENSMUSG00000111422.1
176,ENSMUSG00000097321.5
177,ENSMUSG00000056821.13
178,ENSMUSG00000038782.7
179,ENSMUSG00000089798.10
180,ENSMUSG00000078635.3
181,ENSMUSG00000031452.15
182,ENSMUSG00000044916.10
