,name
0,ENSMUSG00000109644
1,ENSMUSG00000007777
2,ENSMUSG00000086714
3,ENSMUSG00000043644
4,ENSMUSG00000042208
5,ENSMUSG00000020831
6,ENSMUSG00000089755
7,ENSMUSG00000107002
8,ENSMUSG00000046683
9,ENSMUSG00000058706
10,ENSMUSG00000099146
11,ENSMUSG00000097882
12,ENSMUSG00000058812
13,ENSMUSG00000089889
14,ENSMUSG00000087341
15,ENSMUSG00000060512
16,ENSMUSG00000087361
17,ENSMUSG00000097863
18,ENSMUSG00000097222
19,ENSMUSG00000115547
20,ENSMUSG00000090066
21,ENSMUSG00000097134
22,ENSMUSG00000071456
23,ENSMUSG00000102531
24,ENSMUSG00000106291
25,ENSMUSG00000030663
26,ENSMUSG00000107121
27,ENSMUSG00000039195
28,ENSMUSG00000045237
29,ENSMUSG00000116164
30,ENSMUSG00000028441
31,ENSMUSG00000085151
32,ENSMUSG00000112289
33,ENSMUSG00000097616
34,ENSMUSG00000097047
35,ENSMUSG00000103520
36,ENSMUSG00000099139
37,ENSMUSG00000037971
38,ENSMUSG00000099098
39,ENSMUSG00000092203
40,ENSMUSG00000063236
41,ENSMUSG00000085457
42,ENSMUSG00000040591
43,ENSMUSG00000035171
44,ENSMUSG00000032551
45,ENSMUSG00000078570
46,ENSMUSG00000111857
47,ENSMUSG00000043687
48,ENSMUSG00000063320
49,ENSMUSG00000087684
50,ENSMUSG00000097290
51,ENSMUSG00000112545
52,ENSMUSG00000033688
53,ENSMUSG00000096221
54,ENSMUSG00000097595
55,ENSMUSG00000098912
56,ENSMUSG00000104888
57,ENSMUSG00000072694
58,ENSMUSG00000098702
59,ENSMUSG00000097383
60,ENSMUSG00000117718
61,ENSMUSG00000043747
62,ENSMUSG00000117232
63,ENSMUSG00000035595
64,ENSMUSG00000101585
65,ENSMUSG00000050088
66,ENSMUSG00000054676
67,ENSMUSG00000102505
68,ENSMUSG00000099429
69,ENSMUSG00000097048
70,ENSMUSG00000117315
71,ENSMUSG00000104986
72,ENSMUSG00000085114
73,ENSMUSG00000110340
74,ENSMUSG00000057818
75,ENSMUSG00000047150
76,ENSMUSG00000099419
77,ENSMUSG00000085984
78,ENSMUSG00000103746
79,ENSMUSG00000095040
80,ENSMUSG00000101963
81,ENSMUSG00000056508
82,ENSMUSG00000118314
83,ENSMUSG00000075511
84,ENSMUSG00000021534
85,ENSMUSG00000044320
86,ENSMUSG00000018543
87,ENSMUSG00000030030
88,ENSMUSG00000038523
89,ENSMUSG00000087621
90,ENSMUSG00000085389
91,ENSMUSG00000102463
92,ENSMUSG00000102000
93,ENSMUSG00000034764
94,ENSMUSG00000116556
95,ENSMUSG00000086330
96,ENSMUSG00000026831
97,ENSMUSG00000097318
98,ENSMUSG00000103452
99,ENSMUSG00000104872
100,ENSMUSG00000101225
101,ENSMUSG00000008028
102,ENSMUSG00000028287
103,ENSMUSG00000057047
104,ENSMUSG00000099958
105,ENSMUSG00000115752
106,ENSMUSG00000067101
107,ENSMUSG00000100010
108,ENSMUSG00000023873
109,ENSMUSG00000100314
110,ENSMUSG00000085102
111,ENSMUSG00000030636
112,ENSMUSG00000108800
113,ENSMUSG00000108791
114,ENSMUSG00000031682
115,ENSMUSG00000085470
116,ENSMUSG00000110424
117,ENSMUSG00000102069
118,ENSMUSG00000027886
119,ENSMUSG00000054727
