Unnamed: 0,E2F1_12hr_dox_rep1,E2F1_12hr_dox_rep2,E2F1_6hr_dox_rep1,E2F1_6hr_dox_rep2,E2F1_2hr_dox_rep1,E2F1_2hr_dox_rep2,E2F1_0hr_rep1,E2F1_0hr_rep2
ENSMUSG00000109644.1,4.9519838927999995,14.8881015729,2.9931928093,5.0046663728,3.9909947574,22.1110691333,8.8628057283,29.3900836266
ENSMUSG00000007777.9,441.7169632414,508.1805336872,320.2716305991,331.30891387639997,452.9779049692,412.0699247568,522.905537967,390.888112234
ENSMUSG00000086714.1,33.6734904713,16.8731817826,41.904699330700005,33.0307980602,26.9392146127,37.1867980878,32.496954336900004,39.186778168800004
ENSMUSG00000043644.4,53.48142604270001,58.5598661866,47.891084949399996,47.043863903900004,100.7726176253,67.3382559968,61.0548839058,99.9262843305
ENSMUSG00000042208.15,1775.7814239725,1583.1014672482002,1850.7908871072,1738.6210978949,958.8364904745,964.8466530891001,751.3689745175999,916.9706091503999
ENSMUSG00000020831.18,41.596664699899996,73.4479677595,16.9614259196,51.0475970021,52.880680536099995,22.1110691333,25.6036609927,35.2681003519
ENSMUSG00000089755.1,2.9711903357,0.0,0.0,0.0,1.9954973787,2.0100971939,0.984756192,4.8983472711000005
ENSMUSG00000107002.1,1263.7462894528,1833.2215736724,1141.4041912941,1497.3961787282,1336.9832437418,1270.3814265673,1411.1556231766,1260.8345875818
ENSMUSG00000046683.16,1.9807935571000002,0.0,0.0,0.0,0.0,0.0,2.9542685761,0.0
ENSMUSG00000058706.5,1601.4715909445001,1536.4520823199,1305.0320648713,1208.126462383,1348.9562280141001,1290.4823985067,1245.7165829158,1233.4038428636
ENSMUSG00000099146.7,8.9135710071,9.9254010486,1.9954618729,6.0055996473,0.0,9.0454373727,7.8780495362,5.878016725299999
ENSMUSG00000097882.2,20.7983323499,50.619545347700004,27.9364662205,61.0569297476,41.9054449531,28.141360715100003,34.466466720999996,47.024133802600005
ENSMUSG00000058812.2,0.0,3.9701604194,5.9863856187,3.0027998237,16.9617277191,2.0100971939,2.9542685761,8.817025088
ENSMUSG00000089889.2,17.8271420142,20.843342202,18.9568877925,5.0046663728,37.9144501957,28.141360715100003,33.481710529000004,52.9021505279
ENSMUSG00000060512.7,1.9807935571000002,6.947780734,5.9863856187,4.0037330982,0.0,0.0,0.0,0.0
ENSMUSG00000087361.7,6.93277745,0.0,0.0,2.0018665491,9.9774868936,0.0,0.0,0.9796694542000001
ENSMUSG00000097863.1,8.9135710071,9.9254010486,4.9886546822,12.0111992946,8.9797382042,15.0757289545,30.5274419529,14.6950418133
