,EV_0hr_dox_rep1,EV_0hr_dox_rep2,EV_2hr_dox_rep1,EV_2hr_dox_rep2,EV_6hr_dox_rep1,EV_6hr_dox_rep2,EV_12hr_dox_rep1,EV_12hr_dox_rep2
ENSMUSG00000109644.1,27.9051949295,22.9199529151,10.9055011503,34.5032635923,8.977048632,22.8648531223,1.9850874524,16.9959555775
ENSMUSG00000007777.9,456.449259919,533.1380351995,425.3145448601,445.5850041061,476.7810273425,457.297062446,559.7946615823,643.8467877608
ENSMUSG00000086714.1,36.8747218712,29.8955907589,32.7165034508,24.6451882802,22.9413465039,38.770837903,25.8061368815,49.9881046398
ENSMUSG00000043644.4,102.6512527765,154.4605522541,59.4845517287,56.1910292789,124.6812309996,98.4182808308,82.3811292754,103.9752576508
ENSMUSG00000042208.15,565.0801973233,650.727358851,771.3163540819,816.2486358404,692.2301945098,623.3157785949,561.7797490347,624.8513079977
ENSMUSG00000020831.18,29.8984231388,14.9477953794,39.6563678191,41.4039163107,29.9234954399,16.9001088295,44.6644676794,24.9940523199
ENSMUSG00000089755.1,2.9898423139,0,9.9140919548,0,5.984699088,1.9882480976,0.9925437262,0
ENSMUSG00000107002.1,1433.131082453,1327.364229693,1492.0708391944,1319.9962842878,1299.6771519398,1353.9969544597,1143.4103725936,1461.6521796682
ENSMUSG00000046683.16,1.9932282093,0.996519692,0,0,0.997449848,0,0,1.9995241856
ENSMUSG00000058706.5,1099.2653574031,1000.5057707295,922.0105517945,1060.7289035801,1179.9831701802,913.6000008432,1083.857749021,1028.7551934874
ENSMUSG00000099146.7,1.9932282093,0,0,16.7587280305,2.992349544,0,0,0
ENSMUSG00000097882.2,47.8374770221,58.7946618257,33.7079126463,38.4464937171,47.8775927038,70.5828074645,60.5451672988,71.9828706813
ENSMUSG00000058812.2,7.972912837,13.9512756875,14.8711379322,5.9148451872,1.994899696,0,24.8135931552,6.9983346496
ENSMUSG00000089889.2,33.8848795573,47.8329452142,30.7336850598,43.3755313732,40.8954437679,69.5886834157,31.7613992387,66.9840602174
ENSMUSG00000087341.4,0.9966141046,0,0,0,0,0,0,0.9997620928
ENSMUSG00000060512.7,0,0,4.9570459774,0,0,0,0,0
ENSMUSG00000087361.7,0,3.9860787678,7.9312735638,0,0.997449848,11.9294885855,1.9850874524,5.9985725568
ENSMUSG00000097863.1,17.9390538833,20.9269135312,9.9140919548,13.8013054369,24.9362461999,18.8883569271,52.6048174891,20.9950039487
ENSMUSG00000097222.2,4.9830705231,1.9930393839,3.9656367819,5.9148451872,1.994899696,12.9236126343,7.9403498097,1.9995241856
ENSMUSG00000115547.1,0,0,0,0,0,0,6.9478060835,0
ENSMUSG00000090066.2,0,1.9930393839,3.9656367819,0,0,0,0,5.9985725568
ENSMUSG00000097134.2,7.972912837,6.9756378437,4.9570459774,5.9148451872,10.971948328,8.9471164392,4.962718631,12.9969072064
ENSMUSG00000071456.6,303.9673019111,219.2343322316,219.1014322006,158.7150125245,204.4772188393,161.0480959049,211.4118136827,260.9379062198
ENSMUSG00000102531.1,0,0,0,1.9716150624,0,0,0,0
ENSMUSG00000106291.1,5.9796846278,37.8677482945,8.9226827593,5.9148451872,20.9464468079,5.9647442928,40.6942927746,9.997620928
ENSMUSG00000030663.12,3359.5861466963,3569.5335366067,3253.8049795588,3053.0459241519,3301.5589968694,3770.7125170819,3102.6916881317,3346.2037245892
ENSMUSG00000107121.1,54.8137757545,68.7598587454,66.424416097,68.0207196534,35.9081945279,44.7355821958,23.821049429,72.9826327741
ENSMUSG00000039195.4,374.7269033396,361.7366481821,373.7612666952,419.9540082947,355.0921458869,300.2254627363,321.584167292,401.9043613041
ENSMUSG00000045237.5,863.0678146066,770.3097218864,976.5380575458,1180.9974223875,980.4932005809,990.1475526005,833.7367300162,905.7844560734
ENSMUSG00000116164.1,16.9424397787,3.9860787678,12.8883195412,19.7161506242,16.9566474159,17.8942328783,17.8657870718,10.9973830208
ENSMUSG00000028441.12,7.972912837,6.9756378437,3.9656367819,9.8580753121,4.98724924,11.9294885855,19.8508745242,19.9952418559
ENSMUSG00000085151.7,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000112289.1,0,0,0,0,0,2.9823721464,0,0
ENSMUSG00000097616.7,92.6851117303,134.5301584148,83.2783724202,60.1342594037,150.6149270475,97.424156782,100.2469163472,118.9716890428
ENSMUSG00000097047.2,15.945825674,20.9269135312,11.8969103457,12.8154979057,12.966848024,22.8648531223,16.8732433456,24.9940523199
ENSMUSG00000103520.1,119.5936925552,106.6276070399,67.4158252925,88.7226778087,85.7806869277,102.394777026,112.1574410617,88.9788262589
ENSMUSG00000099139.1,0,0,0,0,0,0,0.9925437262,0
ENSMUSG00000037971.10,363.7641481887,353.7644906464,292.465712666,303.6287196121,340.1303981669,385.7201309327,343.4201292686,484.8846150062
ENSMUSG00000099098.4,13.9525974648,8.9686772277,2.9742275864,4.929037656,11.969398176,9.941240488,11.9105247145,15.9961934847
ENSMUSG00000092203.7,7260.3337522047,6167.4603735509,6102.123598167,6655.1866431867,7655.4275833755,6361.3997882433,7499.6603952408,8416.997059252
ENSMUSG00000063236.6,961.7326109647,1145.001126064,1051.8851564021,957.2191128032,1034.3554923727,985.1769323565,921.0805779226,1160.7237897365
ENSMUSG00000085457.3,61.7900744868,73.7424572052,66.424416097,67.0349121222,73.8112887518,68.5945593669,72.4556920133,81.9804916093
ENSMUSG00000040591.18,1159.0622036807,1136.0324488363,855.5861356975,938.4887697102,1115.1489300604,1238.6785647994,1057.0590684134,1180.7190315924
ENSMUSG00000035171.9,777.3590016087,935.731990752,871.4486828252,798.5041002787,801.9496777894,924.53536538,828.7740113851,847.7982546913
ENSMUSG00000032551.7,459.4391022329,437.4721447712,418.3746804917,417.9823932323,412.9442370707,387.7083790303,456.5701140565,556.8674856875
ENSMUSG00000078570.10,993.6242623127,840.0661003237,1019.1686529514,817.2344433716,742.1026869096,786.3521225974,721.5792889545,746.8222833188
ENSMUSG00000111857.1,4.9830705231,34.8781892187,8.9226827593,5.9148451872,7.979598784,13.9177366831,3.9701749048,5.9985725568
ENSMUSG00000043687.15,10.9627551509,7.9721575357,18.8367747141,10.8438828433,1.994899696,3.9764961952,6.9478060835,3.9990483712
ENSMUSG00000063320.11,122.5835348691,156.453591638,94.1838735704,82.8078326215,139.6429787196,134.2067465874,91.3140228113,158.9621727546
ENSMUSG00000087684.1,14.9492115694,21.9234332232,15.8625471276,6.9006527185,24.9362461999,41.7532100494,16.8732433456,25.9938144127
ENSMUSG00000097290.9,151.4853439032,113.6032448836,124.9175586302,124.2117489322,165.5766747675,140.1714908802,169.7249771819,184.9559871673
ENSMUSG00000112545.1,47.8374770221,45.8399058302,16.8539563231,19.7161506242,40.8954437679,18.8883569271,42.679380227,49.9881046398
ENSMUSG00000033688.10,0.9966141046,3.9860787678,8.9226827593,0,2.992349544,10.9353645368,1.9850874524,9.997620928
ENSMUSG00000096221.3,67.7697591146,102.6415282721,87.2440092021,53.2336066852,57.8520911838,86.4887922452,85.358760454,147.9647897339
ENSMUSG00000097595.2,1.9932282093,6.9756378437,5.9484551729,9.8580753121,4.98724924,5.9647442928,11.9105247145,0.9997620928
ENSMUSG00000098912.7,68.7663732192,71.7494178212,115.9948758709,73.9355648406,70.8189392078,83.5064200988,99.254372621,55.9866771966
ENSMUSG00000104888.1,8.9695269416,6.9756378437,11.8969103457,12.8154979057,0,1.9882480976,3.9701749048,0
ENSMUSG00000072694.8,169.4243977865,73.7424572052,128.8831954121,121.2543263386,124.6812309996,137.1891187338,170.7175209081,123.9704995067
ENSMUSG00000098702.1,163.4447131588,194.3213399325,172.5052000132,172.5163179614,181.5358723354,169.0010882953,229.2776007545,243.9419506423
ENSMUSG00000097383.1,10.9627551509,0,1.982818391,17.7445355617,14.96174772,8.9471164392,14.8881558931,16.9959555775
ENSMUSG00000117718.1,11.9593692555,20.9269135312,1.982818391,3.9432301248,1.994899696,1.9882480976,14.8881558931,4.998810464
ENSMUSG00000043747.12,1.9932282093,3.9860787678,11.8969103457,0.9858075312,11.969398176,0,19.8508745242,25.9938144127
ENSMUSG00000117232.1,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000035595.6,519.2359485105,363.729687566,440.1856827922,331.231330486,384.0181914788,394.6672473719,502.2271254621,445.8938933871
ENSMUSG00000101585.6,1.9932282093,0,0,1.9716150624,2.992349544,0,0,0
ENSMUSG00000050088.9,1818.8207409435,1815.6588787542,1944.1534323323,1893.736267451,1928.0705561778,1704.9227436845,1995.0128896816,1958.5339397879
ENSMUSG00000054676.15,552.1242139631,645.7447603912,578.9829701591,696.9659245642,555.5795653342,759.5107732799,599.4964106307,648.8455982248
ENSMUSG00000102505.1,0,0,2.9742275864,0,0.997449848,0,0,0
ENSMUSG00000099429.1,0,0,0,5.9148451872,0,0,0,0
ENSMUSG00000097048.7,465.4187868606,405.5835146284,450.099774747,351.9332886413,450.8473312946,385.7201309327,537.9586996057,453.8919901295
ENSMUSG00000117315.1,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000104986.1,15.945825674,14.9477953794,3.9656367819,6.9006527185,9.97449848,11.9294885855,11.9105247145,11.9971451136
ENSMUSG00000085114.1,0,0,0,6.9006527185,0,0,0,0
ENSMUSG00000110340.1,0,6.9756378437,0.9914091955,0,9.97449848,0,0,0
ENSMUSG00000057818.8,1.9932282093,0,0,1.9716150624,0,0,0,1.9995241856
ENSMUSG00000047150.8,0.9966141046,6.9756378437,0,3.9432301248,1.994899696,3.9764961952,6.9478060835,1.9995241856
ENSMUSG00000099419.1,0,0,0,0,0,0.9941240488,0,0
ENSMUSG00000085984.7,25.9119667203,12.9547559955,7.9312735638,10.8438828433,1.994899696,3.9764961952,0,16.9959555775
ENSMUSG00000103746.1,25.9119667203,40.8573073704,17.8453655186,18.730343093,14.96174772,6.9588683416,9.9254372621,27.9933385983
ENSMUSG00000095040.2,4.9830705231,0,3.9656367819,1.9716150624,4.98724924,0,8.9328935359,5.9985725568
ENSMUSG00000101963.2,0,0,0,3.9432301248,0,1.9882480976,0,0
ENSMUSG00000056508.6,24.9153526157,22.9199529151,32.7165034508,25.6309958114,25.9336960479,29.8237214639,9.9254372621,9.997620928
ENSMUSG00000118314.1,2.9898423139,3.9860787678,13.8797287367,9.8580753121,3.989799392,6.9588683416,12.9030684407,19.9952418559
ENSMUSG00000075511.9,15.945825674,21.9234332232,14.8711379322,19.7161506242,27.9285957439,22.8648531223,42.679380227,23.9942902271
ENSMUSG00000021534.8,0,0,1.982818391,0,1.994899696,0.9941240488,3.9701749048,1.9995241856
ENSMUSG00000044320.14,29.8984231388,29.8955907589,28.7508666689,16.7587280305,21.9438966559,30.8178455127,10.9179809883,32.9921490623
ENSMUSG00000018543.8,4.9830705231,13.9512756875,0,7.8864602497,6.982148936,4.970620244,9.9254372621,10.9973830208
ENSMUSG00000030030.5,32.8882654527,94.6693707364,45.604822992,51.2619916228,72.8138389038,71.5769315133,77.4184106444,67.9838223101
ENSMUSG00000038523.10,30.8950372434,51.819023982,45.604822992,52.247799154,14.96174772,15.9059847807,12.9030684407,32.9921490623
ENSMUSG00000087621.7,9.9661410463,0,7.9312735638,0,0.997449848,1.9882480976,0,0.9997620928
ENSMUSG00000085389.7,1.9932282093,0,0,1.9716150624,0,3.9764961952,0,1.9995241856
ENSMUSG00000102463.1,1.9932282093,1.9930393839,5.9484551729,0,0,0,0,0
ENSMUSG00000102000.6,0,3.9860787678,0,0,0,0,0,0
ENSMUSG00000034764.15,15.945825674,16.9408347633,19.8281839096,0,16.9566474159,20.8766050247,23.821049429,18.9954797631
ENSMUSG00000116556.1,0,0,0,0,1.994899696,0.9941240488,0,0
ENSMUSG00000086330.7,48.8340911267,40.8573073704,37.6735494282,74.9213723718,46.8801428558,46.7238302934,71.4631482871,54.9869151038
ENSMUSG00000026831.16,0,0,0,1.9716150624,0,1.9882480976,0,1.9995241856
ENSMUSG00000097318.2,32.8882654527,61.7842209016,26.7680482779,43.3755313732,26.9311458959,36.7825898054,17.8657870718,21.9947660415
ENSMUSG00000103452.1,5.9796846278,6.9756378437,0,0,14.96174772,12.9236126343,0,20.9950039487
ENSMUSG00000104872.1,5.9796846278,3.9860787678,5.9484551729,7.8864602497,2.992349544,0.9941240488,1.9850874524,4.998810464
