,EV_0hr_ser_rep1,EV_0hr_ser_rep2,EV_2hr_ser_rep1,EV_2hr_ser_rep2,EV_6hr_ser_rep1,EV_6hr_ser_rep2,EV_12hr_ser_rep1,EV_12hr_ser_rep2
ENSMUSG00000109644.1,27.5613658441,22.7015961504,0,0,13.7437524787,20.5794796153,3.990623307,5.9899067276
ENSMUSG00000007777.9,450.8251984502,528.0588669777,146.4581053451,140.496170011,321.0147900383,340.051401263,517.7833740894,467.2127247529
ENSMUSG00000086714.1,36.420376294,29.6107775875,43.2493733905,23.7458315512,50.0665268867,24.4993804945,25.9390514958,31.9461692139
ENSMUSG00000043644.4,101.3864529266,152.9890175356,66.8399406944,40.5657955665,36.322774408,41.1589592307,60.8570054325,62.8940206398
ENSMUSG00000042208.15,558.1176583433,644.5279254887,821.7380944197,879.5851770405,637.1210970484,734.0014396138,989.6745801478,941.4136740213
ENSMUSG00000020831.18,29.530034833,14.8053887938,52.0958361295,71.2374946535,43.1946506473,40.1789840109,59.8593496057,38.9343937294
ENSMUSG00000089755.1,2.9530034833,0,2.948820913,10.8835061276,7.853572845,0.9799752198,0.9976558268,3.9932711517
ENSMUSG00000107002.1,1415.4730029941,1314.7185248865,1293.5494404979,1313.936012497,1466.6547287986,1345.5059767554,1641.1438350232,2059.5295965069
ENSMUSG00000046683.16,1.9686689889,0.9870259196,2.948820913,0,0,0,0,0
ENSMUSG00000058706.5,1085.7209473592,990.9740232628,1379.0652469746,1248.6349757313,951.2640108473,766.3406218665,1044.5456506197,953.3934874765
ENSMUSG00000099146.7,1.9686689889,0,0,0,0.9816966056,0,0,0
ENSMUSG00000108236.1,0,0,0,0,0,0,0,5.9899067276
ENSMUSG00000097882.2,47.2480557328,58.2345292555,14.7441045649,2.9682289439,23.5607185349,29.3992565933,43.8968563775,29.949533638
ENSMUSG00000058812.2,7.8746759555,13.8183628742,5.897641826,4.9470482398,4.9084830281,6.8598265384,1.9953116535,2.9949533638
ENSMUSG00000089889.2,33.4673728107,47.3772441401,7.8635224346,15.8305543674,22.5790219293,14.6996282967,23.9437398423,42.9276648811
ENSMUSG00000087341.4,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000060512.7,0,0,0,5.9364578878,0,0,0,1.9966355759
ENSMUSG00000087361.7,0,3.9481036783,7.8635224346,0,0,0,0,0
ENSMUSG00000097863.1,17.7180208998,20.7275443113,12.7782239563,8.9046868317,8.8352694506,1.9599504396,7.9812466141,13.9764490311
ENSMUSG00000097222.2,4.9216724722,1.9740518392,4.9147015216,0.989409648,0,4.8998760989,3.990623307,1.9966355759
ENSMUSG00000090066.2,0,1.9740518392,25.5564479126,46.5022534543,6.8718762394,11.7597026373,8.9789024409,12.9781312431
ENSMUSG00000097134.2,7.8746759555,6.9091814371,4.9147015216,0,0,0,0,13.9764490311
ENSMUSG00000071456.6,300.222020802,217.1457023086,159.2363293014,164.2420015621,235.6071853492,152.8761342854,206.5147561397,267.5491671662
ENSMUSG00000106291.1,5.9060069666,37.5069849442,12.7782239563,1.9788192959,8.8352694506,0.9799752198,4.9882791338,3.9932711517
ENSMUSG00000030663.12,3318.1915807325,3535.5268439516,2578.2524182569,2759.4635081732,4079.9310929632,4169.7945601561,4178.1826024786,4581.2803288271
ENSMUSG00000107121.1,54.1383971938,68.1047884513,35.3858509559,32.6505183828,84.4259080835,65.6583397251,78.8148103142,90.846918702
ENSMUSG00000039195.4,370.1097699067,358.2904088092,384.3296589929,386.8591723542,410.3491811498,276.3530119774,455.9287128302,393.3372084458
ENSMUSG00000045237.5,852.4336721787,762.9710358388,326.3361810375,309.6852198129,920.831416073,971.1554428002,707.3379811742,757.7232010416
ENSMUSG00000116164.1,16.7336864054,3.9481036783,2.948820913,0,0.9816966056,6.8598265384,5.9859349606,3.9932711517
ENSMUSG00000028441.12,7.8746759555,6.9091814371,2.948820913,17.8093736634,21.5973253237,5.8798513187,9.9765582676,0
ENSMUSG00000112289.1,0,0,0,0,0,0,1.9953116535,0
ENSMUSG00000097616.7,91.5431079822,133.2484991439,20.6417463909,12.8623254235,30.4325947743,30.3792318131,52.8757588184,71.8788807312
ENSMUSG00000097047.2,15.7493519109,20.7275443113,11.795283652,10.8835061276,4.9084830281,14.6996282967,11.9718699211,7.9865423035
ENSMUSG00000103520.1,118.1201393319,105.6117733955,31.4540897386,31.6611087349,42.2129540417,40.1789840109,37.910921417,65.8889740036
ENSMUSG00000085972.1,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000037971.10,359.2820904679,350.3942014525,136.6287023018,109.8244709241,138.4192213926,170.5156882414,131.6905691326,177.7005662522
ENSMUSG00000099098.4,13.7806829221,8.8832332763,2.948820913,3.9576385919,1.9633932112,0,0.9976558268,7.9865423035
ENSMUSG00000092203.7,7170.8767919418,6108.7034163083,4566.740653916,4871.8531065776,3807.0194366004,3301.5365154326,3353.1212337466,3262.5025309668
ENSMUSG00000063236.6,949.8827871275,1134.0927816026,842.3798408106,829.1252849943,853.0943502851,886.8775738992,769.1926424334,935.4237672937
ENSMUSG00000085457.3,61.0287386548,73.0399180493,61.9252391728,85.089229725,52.0299200979,35.279107912,42.8992005508,48.9175716087
ENSMUSG00000040591.18,1144.7810170252,1125.2095483263,786.3522434638,589.6881501869,588.0362667673,573.2855035702,622.5372358994,875.5247000177
ENSMUSG00000035171.9,767.7809056575,926.8173384898,512.1118985558,542.1964870846,886.4720348763,882.9576730201,1318.9010029792,1316.7811622844
ENSMUSG00000032551.7,453.7782019334,433.3043786976,302.7456137336,266.1511953025,372.0630135306,426.2892206035,372.1256233822,391.34057287
ENSMUSG00000078570.10,981.3814909493,832.0628502097,771.6081388989,835.0617428821,1122.0792202255,1083.8525930747,1086.4471953437,1212.9561123393
ENSMUSG00000111857.1,4.9216724722,34.5459071855,7.8635224346,0,0.9816966056,4.8998760989,42.8992005508,31.9461692139
ENSMUSG00000043687.15,10.8276794388,7.8962073567,0,0,0.9816966056,5.8798513187,2.9929674803,4.9915889397
ENSMUSG00000063320.11,121.0731428152,154.9630693748,55.0446570425,51.4493016942,85.4076046891,54.8786123076,117.7233875579,189.6803797074
ENSMUSG00000087684.1,14.7650174165,21.7145702309,9.8294030433,10.8835061276,29.4508981686,25.4793557142,20.950772362,35.9394403656
ENSMUSG00000097290.9,149.6188431538,112.5209548326,45.2152539992,101.9091937404,84.4259080835,46.0588353296,64.8476287395,49.9158893967
ENSMUSG00000112545.1,47.2480557328,45.4031923009,14.7441045649,10.8835061276,1.9633932112,6.8598265384,22.9460840155,9.9831778793
ENSMUSG00000033688.10,0.9843344944,3.9481036783,0.9829403043,0,0.9816966056,1.9599504396,3.990623307,0
ENSMUSG00000096221.3,66.9347456214,101.6636697172,132.6969410845,128.6232542354,74.6089420272,89.1777449998,99.7655826762,75.8721518829
ENSMUSG00000097595.2,1.9686689889,6.9091814371,3.9317612173,0,5.8901796337,1.9599504396,2.9929674803,4.9915889397
ENSMUSG00000098912.7,67.9190801159,71.0658662101,116.9698962152,57.3857595819,87.3709979003,104.8573485163,105.7515176368,104.823367733
