name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000091269,75661.8282885664,2.16462398102545,0.10140114730915302,21.3471350025845,4.145886246969538e-101,3.670664035910659e-98"""
1,"1,""ENSMUSG00000085314,40646.750343770495,2.07846861419609,0.100749234408154,20.630118197978803,1.4728965896845395e-94,8.346021235788479e-92"""
2,"2,""ENSMUSG00000021048,9696.50714718702,2.16042945296973,0.110968517389635,19.4688502990806,2.0174888914347396e-84,7.724256117855288e-82"""
3,"3,""ENSMUSG00000090230,4193.890496068089,2.5167140868971,0.140197186249991,17.9512453438934,4.692622807183129e-72,1.0227029951777899e-69"""
4,"4,""ENSMUSG00000112597,566.649205002213,4.36764361687034,0.26705702123219105,16.3547230352462,4.025344096189329e-60,5.93989838193938e-58"""
5,"5,""ENSMUSG00000033809,1889.58927019969,2.56391219436796,0.15682365638375198,16.3490142590094,4.4207356238791093e-60,6.456096994625928e-58"""
6,"6,""ENSMUSG00000084772,12598.009776061299,1.6569479024292901,0.106690795600304,15.5303734788586,2.1611745385661897e-54,2.6111578585288295e-52"""
7,"7,""ENSMUSG00000115221,16226.1853867026,1.69804894541015,0.11519204339988198,14.7410263356079,3.51403440367351e-49,3.2116007330605804e-47"""
8,"8,""ENSMUSG00000099190,2227.3939568034502,2.3273460607394503,0.15854768423872198,14.679155182331199,8.76759987595098e-49,7.961655118123179e-47"""
9,"9,""ENSMUSG00000046491,4260.0459059800205,1.7635124695814197,0.12594895200203,14.001803441389502,1.5196492203548e-44,1.23013433460264e-42"""
10,"10,""ENSMUSG00000109398,6833.50921973461,1.90580362267517,0.140105555239065,13.602627100854399,3.86303926175884e-42,2.85019865531645e-40"""
11,"11,""ENSMUSG00000040187,4547.25149061889,1.6555303849361598,0.122795869699867,13.4819712501939,1.9969914541937896e-41,1.4433357622504698e-39"""
12,"12,""ENSMUSG00000039840,3290.8472061553102,1.7377472953693998,0.131821221325678,13.182606547667401,1.10505760234764e-39,7.38407829946069e-38"""
13,"13,""ENSMUSG00000073530,16593.2864350942,1.53743934731659,0.118664977496095,12.956133981209199,2.16906867839688e-38,1.3476766183408002e-36"""
14,"14,""ENSMUSG00000088984,2286.31308307954,1.8408751672376102,0.14217648690828,12.9478172324316,2.4172992568953603e-38,1.48240092091687e-36"""
15,"15,""ENSMUSG00000116116,3000.8703252150203,1.9803334683647502,0.154453489322049,12.821552151765099,1.24189273293316e-37,7.151484737695609e-36"""
16,"16,""ENSMUSG00000046691,2123.39777512224,2.1142725969832097,0.16559087037137196,12.7680505105234,2.4727018319176298e-37,1.4181495607670097e-35"""
