name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000086718,3203.3314161209496,3.56979369860161,0.1400883433413,25.482446386738,3.085815838570519e-143,4.0269896693345294e-139"""
1,"1,""ENSMUSG00000003934,4975.18262045206,2.88959917880392,0.128223794941487,22.535592400166898,1.85933934154594e-112,1.2132189203587198e-108"""
2,"2,""ENSMUSG00000118128,1721.31291576021,3.6209192647740496,0.16731724254025399,21.641040754678396,7.381820979992608e-104,3.2110921262967793e-100"""
3,"3,""ENSMUSG00000085408,10984.1564335048,2.36559834197539,0.113590228348529,20.8257204547298,2.5309127776206294e-96,8.257102936987298e-93"""
4,"4,""ENSMUSG00000044211,7463.68412506528,2.4313158434551,0.11721912773031698,20.741630572859897,1.4589531950962497e-95,3.8078678392011986e-92"""
5,"5,""ENSMUSG00000097101,5727.35881618277,2.72171199955307,0.1390169908423,19.578268692641803,2.369376349221439e-85,5.1533935595566287e-82"""
6,"6,""ENSMUSG00000116534,3204.33200347945,3.04770447705502,0.156846459828014,19.4311333542172,4.209639191249539e-84,7.847970206543778e-81"""
7,"7,""ENSMUSG00000021831,1863.1518253134698,3.06644926266546,0.16344234010416198,18.7616578464993,1.5547379404753596e-78,2.53616626540043e-75"""
8,"8,""ENSMUSG00000037685,49193.7986139036,1.9982980572376698,0.11128546426978699,17.9565055539799,4.268486475324539e-72,6.189305389220579e-69"""
9,"9,""ENSMUSG00000085467,6638.2756468824,2.21378043986689,0.12338852845587499,17.9415417913713,5.588287125230469e-72,7.292714698425758e-69"""
10,"10,""ENSMUSG00000021257,5570.341255837211,2.6216837315686297,0.14686089982601802,17.851475339416197,2.81500615839951e-71,3.339620942464879e-68"""
11,"11,""ENSMUSG00000086918,7666.87192186246,2.07934840130686,0.11682298714930302,17.7991374133363,7.176573065545999e-71,7.804523208781268e-68"""
12,"12,""ENSMUSG00000112136,3383.5266658781297,2.39989109272581,0.13534115400323,17.7321607045595,2.3675794090710096e-70,2.3766854837212797e-67"""
13,"13,""ENSMUSG00000025154,740.053063896288,4.4554326692432005,0.251564660207521,17.710884611407,3.4559794555834196e-70,3.221466563954539e-67"""
