name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000084782,10135.7776798767,2.53194161662747,0.12339165587227499,20.5195529529835,1.44030702457338e-93,1.7511252804763193e-89"
1,"ENSMUSG00000048349,739.939749549433,2.96612075214137,0.24085947238650698,12.3147357367853,7.54619533156479e-35,2.29366607102912e-31"
2,"ENSMUSG00000110635,2486.27398821177,1.75232184676062,0.15453666346876999,11.339198138665301,8.390976837569998e-30,2.04034992782352e-26"
3,"ENSMUSG00000018809,1146.2831584411301,2.34394426305058,0.221077863535094,10.6023471801758,2.90593862331251e-26,4.41630022277919e-23"
4,"ENSMUSG00000103436,479.00081176749495,2.8022107571779102,0.269734568003784,10.3887713685203,2.78922842819422e-25,3.76793769222059e-22"
5,"ENSMUSG00000074766,1820.57827647969,1.53958898393403,0.15499251525107502,9.93331182115488,2.9818384859605603e-23,3.0210993593590397e-20"
6,"ENSMUSG00000051455,1776.00727495154,1.5220879699032501,0.19490095389884501,7.80954602558395,5.73943368938758e-15,2.49214409984193e-12"
7,"ENSMUSG00000030770,1281.4442350766099,1.56239940879445,0.20920728127927102,7.46818848388359,8.13063281875925e-14,2.53467266180705e-11"
8,"ENSMUSG00000106843,509.474059518083,1.8673653858651498,0.26259042195425897,7.11132329948589,1.14935546850672e-12,2.7399732913930796e-10"
9,"ENSMUSG00000078877,674.52503279921,1.636052667852,0.23219236594948395,7.0461087777879206,1.8399044108874203e-12,4.06719233228531e-10"
10,"ENSMUSG00000034220,616.15677027296,1.72928635004417,0.25424163213651,6.801743426173671,1.03360564060672e-11,1.9333195966917606e-09"
11,"ENSMUSG00000000085,823.027637828194,1.5840996107710401,0.23318848086317398,6.7932155349497405,1.09661354067987e-11,2.0034586036544897e-09"
12,"ENSMUSG00000084478,1162.89527345338,1.54051777919116,0.23078603508186898,6.67509097179419,2.4707885050009102e-11,3.95261140050014e-09"
13,"ENSMUSG00000028248,575.717215792697,1.65529008046487,0.251938526108978,6.57021419482649,5.02429342961355e-11,7.54140240953599e-09"
14,"ENSMUSG00000012483,494.875574446156,1.6747638880098799,0.264849633212885,6.323451792979139,2.5578402631898996e-10,3.30832148083647e-08"
15,"ENSMUSG00000070225,414.322992259032,1.70025235012841,0.27607407714515303,6.15868163976314,7.33530181825234e-10,8.65850480643805e-08"
16,"ENSMUSG00000081875,515.820578828293,1.56192013567325,0.25482239499615195,6.12944610185001,8.818554247467419e-10,1.0211045956258e-07"
17,"ENSMUSG00000097255,438.042341420204,1.65273813998606,0.26975314439129106,6.1268540306195,8.9633632213773e-10,1.0280808494859e-07"
18,"ENSMUSG00000114140,254.50762929354198,2.2360338101800297,0.36534986450189294,6.120253563604231,9.34265686209336e-10,1.03261838299392e-07"
19,"ENSMUSG00000115358,71.22042007323671,4.79588197725867,0.791442913602194,6.0596688590344,1.3640206635629e-09,1.44206636761719e-07"
20,"ENSMUSG00000105360,395.88465507160697,2.04267948248514,0.343606505234643,5.94482191508636,2.7675757196964198e-09,2.72070108744124e-07"
21,"ENSMUSG00000113871,503.063560247371,1.6608745848611497,0.279642912080817,5.93926937930453,2.86295105836415e-09,2.76252055298343e-07"
22,"ENSMUSG00000103382,378.62732478054704,1.71132780803899,0.30608400514749895,5.591039646826099,2.25714030522126e-08,1.7819683007064998e-06"
23,"ENSMUSG00000019189,168.39258416109502,2.42916032396877,0.43783188519784005,5.54815765158613,2.8869550727731002e-08,2.19372498592346e-06"
24,"ENSMUSG00000072941,483.616745020357,1.6021644415977099,0.294507587254362,5.4401465732492005,5.32367531693161e-08,3.7630956106543295e-06"
25,"ENSMUSG00000106674,85.32179407501701,3.4239707980116005,0.633134872623729,5.4079643154428805,6.37451208763134e-08,4.35400662704617e-06"
26,"ENSMUSG00000093170,339.386840725755,1.86126105783551,0.35291092796169293,5.2740250028118805,1.33463712275467e-07,7.87695055264626e-06"
27,"ENSMUSG00000032497,344.644154688344,1.68311133361748,0.323933094681852,5.195861001082741,2.0377447945210603e-07,1.1417005166722198e-05"
28,"ENSMUSG00000106273,328.49553426331903,1.6361154886561298,0.31690985530511306,5.16271571005868,2.43392644739726e-07,1.3342954925676199e-05"
29,"ENSMUSG00000021699,205.662124110155,1.99241903187321,0.387408063363481,5.14294672799272,2.7046233343003e-07,1.4679826115367401e-05"
30,"ENSMUSG00000100218,66.25913610500841,3.61016777055731,0.7098724647774141,5.08565686047465,3.6635589578806896e-07,1.89538509829419e-05"
31,"ENSMUSG00000109524,213.251781872433,2.10444469073798,0.41475492183025003,5.0739474807228,3.89646640707262e-07,2.0073406176775e-05"
32,"ENSMUSG00000018572,297.38682597197203,1.6969419654808997,0.34254740563423997,4.953889410836269,7.274456011070509e-07,3.40164754548443e-05"
33,"ENSMUSG00000082014,93.53578352914231,2.74997260795409,0.573587743341464,4.794336419976459,1.6321417957323901e-06,6.77255288481721e-05"
34,"ENSMUSG00000021911,134.734990638862,2.2459133867189,0.478568399023498,4.692983053836421,2.6924980180250403e-06,0.000103921875883011"
35,"ENSMUSG00000040990,374.05747011712305,1.53182950582898,0.3301264283692669,4.64012988416527,3.48190264758154e-06,0.000131061834022589"
36,"ENSMUSG00000039683,202.921119729067,1.8581352976594498,0.406206621096614,4.574359946775719,4.77678010540155e-06,0.000173361470213349"
37,"ENSMUSG00000064330,248.47957001349602,1.5774617763774,0.34971129650253496,4.51075441987036,6.4597472066916495e-06,0.000225036121888129"
38,"ENSMUSG00000107559,61.5362307885336,3.5911066846999704,0.798565675904665,4.49694595329525,6.893650239817889e-06,0.000236759885920073"
39,"ENSMUSG00000086873,90.83455199736771,2.62071417099354,0.583518724564078,4.4912254922948,7.081452862963229e-06,0.00024184355030310898"
40,"ENSMUSG00000096372,274.082303958767,1.62885793442994,0.37282739774028706,4.36893303523957,1.2485504101950698e-05,0.000397378949925438"
41,"ENSMUSG00000086984,207.19871212485,1.62831482003204,0.38369880778708204,4.24373176821442,2.1983310059688698e-05,0.000636364485013559"
42,"ENSMUSG00000036009,117.491863073505,2.27338718856401,0.535902453394811,4.24216604003707,2.2137281055437697e-05,0.000637784509649316"
43,"ENSMUSG00000025793,247.693193865363,1.6200459642684901,0.38360181271343297,4.2232489800008794,2.4080554442500398e-05,0.0006808636765393481"
44,"ENSMUSG00000067870,235.83421807585097,1.5292107796737,0.36719484899696403,4.16457579361727,3.1193199196971e-05,0.000835345629596418"
45,"ENSMUSG00000040414,111.230730706513,2.14455788795241,0.5149278889055741,4.16477323166636,3.11662182239561e-05,0.000835345629596418"
46,"ENSMUSG00000108089,164.612579060171,1.7793632409664601,0.44317939821585794,4.01499539042152,5.94469566270807e-05,0.00144551219734409"
47,"ENSMUSG00000102051,116.89684699410299,2.74358445312038,0.6836448033268809,4.01317239561983,5.9908126836228894e-05,0.00145381837539894"
48,"ENSMUSG00000101132,220.31583305609502,1.5520009618525001,0.38863210558274897,3.99349652166614,6.510603423702421e-05,0.00154300032018273"
49,"ENSMUSG00000090691,220.67753250516202,1.5585702964938999,0.391516704612395,3.9808526127560597,6.86685188783255e-05,0.00161796870643931"
50,"ENSMUSG00000112926,99.05744468064378,2.17018920839603,0.5494293912214071,3.94989646180304,7.818500665789929e-05,0.00178343960778"
51,"ENSMUSG00000031698,2255.89679332763,1.6361260995128102,0.41810992537195707,3.9131481943589104,9.11005871188603e-05,0.0019992796718251"
52,"ENSMUSG00000081024,47.3617788737121,3.42610607371928,0.8897507283513449,3.85063587423823,0.00011781154755156298,0.00247383902440743"
53,"ENSMUSG00000030413,210.98813965571603,1.5268503965493199,0.397110713585916,3.8448985240459503,0.00012060233589494399,0.00251938694125555"
54,"ENSMUSG00000112691,184.85263139228402,1.5281482619875801,0.40115181013396,3.8094013871638,0.000139303652455647,0.0028560772454566"
55,"ENSMUSG00000027502,100.598175431757,2.05047104129967,0.539601259031812,3.79997453115427,0.000144710959672312,0.00294031402194294"
56,"ENSMUSG00000110729,7732.65034843115,1.6705113794345399,0.463161354750296,3.60675898863617,0.00031004538918726,0.005506569266452921"
57,"ENSMUSG00000081555,86.59273094197269,2.12998141495745,0.595914331390788,3.5743080888595897,0.00035115525991452796,0.00606640538233089"
58,"ENSMUSG00000077148,58.82961022511729,2.57535619549471,0.727869510168923,3.53821139574458,0.000402847398102484,0.006783658332599271"
59,"ENSMUSG00000059602,109.52843264787799,1.7815000674339199,0.520450488643397,3.4229962432691097,0.000619349332809169,0.00941256148536735"
60,"ENSMUSG00000051184,136.930462123712,1.5785557635629197,0.473228072690415,3.3357187678838396,0.0008507918381636321,0.012155026049816001"
61,"ENSMUSG00000071648,82.943054788154,1.9408490396961102,0.5914130775174139,3.28171478358788,0.00103177911551169,0.0141972089505693"
62,"ENSMUSG00000048668,117.046898659867,1.6100807411738203,0.497193641431176,3.23833735391142,0.0012022855139157199,0.0159015552983003"
63,"ENSMUSG00000031458,61.5801444968575,2.44015397955885,0.761153143174662,3.2058646823441,0.00134657295858636,0.0173687969869019"
64,"ENSMUSG00000115759,120.506199766191,1.6399242997662402,0.5127670349479461,3.198185897291,0.00138295098852033,0.0177712464697641"
65,"ENSMUSG00000092447,113.464761874406,1.6851186317258702,0.543954776047391,3.09790207923289,0.00194895814048606,0.0229829612725795"
66,"ENSMUSG00000032493,117.548097748541,1.6158213028786002,0.524494570435821,3.0807207432785297,0.00206500222862236,0.0239406711575822"
67,"ENSMUSG00000114424,88.9200113657204,1.7030597933793998,0.568405088955255,2.9962078568115498,0.00273360031124278,0.0295949355156632"
68,"ENSMUSG00000035472,108.474214508412,1.76179399207138,0.593505137147067,2.9684561797395403,0.0029929977426244,0.0317252541890388"
69,"ENSMUSG00000113948,125.87186873421001,1.77574946134915,0.6169961344979891,2.8780560558843193,0.0040013403077922794,0.0393913323580069"
70,"ENSMUSG00000029624,142.99992712267098,1.72678436860796,0.6028729701705899,2.8642590629322005,0.00417986004692944,0.0406772954313038"
71,"ENSMUSG00000067924,67.0819302820883,1.8293908099007,0.652874706913282,2.8020549586763,0.0050778222448461105,0.0472795192753276"
72,"ENSMUSG00000114094,81.76726414554041,1.62092615222007,0.5932795878761701,2.7321454931943303,0.00629233471966746,0.0553962386109464"
73,"ENSMUSG00000079311,63.0832833837061,1.7930710626246298,0.682754495568099,2.6262310600132595,0.00863361883657896,0.0704007631221509"
74,"ENSMUSG00000117956,84.02007692856871,1.67872415000921,0.6426664183941321,2.61212364916146,0.008998170312241491,0.0724981806867011"
75,"ENSMUSG00000108689,74.53146384469491,1.5749378507521798,0.6163682524327181,2.55518976607917,0.010612992034678,0.0817601555992648"
76,"ENSMUSG00000066364,48.2010109624144,2.0764829226848502,0.8191282069638559,2.5349913542612,0.0112450101346847,0.0849172877127309"
77,"ENSMUSG00000032580,51.664325221812895,2.0198530629356997,0.8018916026307831,2.51886047479375,0.0117735300238476,0.08781753253370501"
78,"ENSMUSG00000006649,77.0195163280257,1.5108812487583798,0.605785759297945,2.4940851209664703,0.0126282256717153,0.0923149732676591"
79,"ENSMUSG00000064565,53.17923610422971,1.9548836024687202,0.794070961372975,2.46185000782381,0.0138222458128785,0.0977321621597433"
