name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000084782,12345.152599503701,1.23625285514771,0.11987224082700301,10.313087055174401,6.14936805540607e-25,4.25167307350775e-21"
1,"ENSMUSG00000081861,575.357332793576,2.8892696606770003,0.278869048607773,10.360668116814699,3.7433803774121096e-25,4.25167307350775e-21"
2,"ENSMUSG00000048349,772.059101638787,2.5477502338511897,0.25162213353894,10.1253025638816,4.2665711364608996e-24,1.96660485583271e-20"
3,"ENSMUSG00000065873,1420.7288883800102,-1.6713164506002598,0.17470223476354,-9.56665753510476,1.10417735960085e-21,3.81714113214013e-18"
4,"ENSMUSG00000112450,13949.617541228501,-1.0579334897753598,0.112517174416952,-9.4024178553845,5.3323379390982495e-21,1.4747113804370098e-17"
5,"ENSMUSG00000088478,3919.7597935360295,1.2156156833234097,0.137808991820991,8.82101862338892,1.13423150020279e-18,2.6140255308007e-15"
6,"ENSMUSG00000030681,10497.3555182432,-1.0075335328295,0.114954785038924,-8.76460716696874,1.87429055055044e-18,3.70252710471592e-15"
7,"ENSMUSG00000034220,550.735287766178,2.70083757987719,0.31353415888421504,8.61417329929458,7.044806480953379e-18,1.21769480023279e-14"
8,"ENSMUSG00000036832,3107.33132651711,-1.25372274420052,0.145773095211359,-8.600508498380501,7.9363671246195e-18,1.2193787177693198e-14"
9,"ENSMUSG00000112566,1426.30099743749,-1.48832156008632,0.17504901743845197,-8.50231313414611,1.8584967789615096e-17,2.5699293459479798e-14"
10,"ENSMUSG00000110915,17994.848375912,-0.9325691189929108,0.11174643879042899,-8.345403478511441,7.09711636973726e-17,8.921720469156979e-14"
11,"ENSMUSG00000110635,2625.58600165772,1.4878664112034499,0.18271747435536803,8.14298915006724,3.8563683315392903e-16,4.44382177404377e-13"
12,"ENSMUSG00000027404,1508.1238758344,-1.37760235359514,0.17114658672515803,-8.04925403395518,8.330018677443001e-16,8.860576790129358e-13"
13,"ENSMUSG00000084157,9243.70460501233,-0.918490696388548,0.11717142507969901,-7.83886255342371,4.54645859583128e-15,4.4906021045110705e-12"
14,"ENSMUSG00000117031,6614.53334480598,-0.966159649471104,0.12454453333412402,-7.757543615978099,8.65901036482638e-15,7.982453021654621e-12"
15,"ENSMUSG00000028964,2789.00823704167,1.40104989074074,0.18286204670858397,7.6617861166867005,1.83364832590195e-14,1.58473056566076e-11"
16,"ENSMUSG00000103436,527.307324152584,1.9793894621161898,0.260007770425478,7.612808874431349,2.6820225401073797e-14,2.1815886873297e-11"
17,"ENSMUSG00000054509,3099.99557980555,-1.3246746346795901,0.179957499618272,-7.36104156531129,1.8248073018982601e-13,1.4018575205916199e-10"
18,"ENSMUSG00000088856,1102.9077164866,1.71260665635413,0.23655490418580302,7.239785039539719,4.49396445451991e-13,3.10712702385506e-10"
19,"ENSMUSG00000099155,6207.245021766949,-0.8923690317697359,0.12324073384785099,-7.24086106847941,4.4584494336231e-13,3.10712702385506e-10"
20,"ENSMUSG00000018809,1348.63603674364,1.29330678881598,0.180692085760739,7.15751762657992,8.21510300714177e-13,5.40944973251221e-10"
21,"ENSMUSG00000021922,13434.0864117239,-0.7840200392412959,0.11247348001179401,-6.97071024350883,3.15344869813556e-12,1.9820858453553896e-09"
22,"ENSMUSG00000052790,228.678261047802,2.62600195067617,0.378475272008002,6.93837126199529,3.9664621046341e-12,2.38470599925567e-09"
23,"ENSMUSG00000023236,1812.84735862863,-1.3890346022272801,0.201676436730304,-6.88744121399165,5.68048341544383e-12,3.27290519453155e-09"
24,"ENSMUSG00000114096,6963.31492118202,0.933131659093473,0.135849672955632,6.86885465965184,6.47194010237941e-12,3.5797595094281003e-09"
25,"ENSMUSG00000090692,2513.8044593023396,-1.13249605294849,0.16544337445372698,-6.8452185328535995,7.63592146787427e-12,4.06113546376021e-09"
26,"ENSMUSG00000109869,5045.629796677121,-0.8663027444534591,0.126988623022376,-6.82189257458766,8.98488469578017e-12,4.60159205826845e-09"
27,"ENSMUSG00000105261,9401.59772659775,-0.8486021461969571,0.126779382589372,-6.69353430238345,2.1784393651223603e-11,1.07583784074686e-08"
28,"ENSMUSG00000114140,249.671904955963,2.3899430977466602,0.35787811222649896,6.67809238983043,2.4207242316671102e-11,1.15426809225837e-08"
