name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000084782,5493.98241874296,1.40450334199194,0.0963041198847514,14.584042133116698,3.5486780450042796e-48,4.1349196580389893e-44"""
1,"1,""ENSMUSG00000033837,6853.27150450299,0.767661386407049,0.0907108320671807,8.462731174580309,2.6118730784366395e-17,1.52167725549719e-13"""
2,"2,""ENSMUSG00000110035,4786.236649065039,0.937854372447664,0.11552090127226901,8.118482128504631,4.7205020655620495e-16,1.8334430022643003e-12"""
3,"3,""ENSMUSG00000085016,34907.2875880169,0.579144879740452,0.0762679578091649,7.59355431004943,3.11247647015266e-14,9.066643957554691e-11"""
4,"4,""ENSMUSG00000070337,18439.1810116048,-0.576997000004485,0.0781245755688232,-7.38560172395669,1.51765453177697e-13,3.53674212085305e-10"""
5,"5,""ENSMUSG00000044860,51697.7114640822,0.531812538388345,0.0731648351018659,7.26869045283726,3.6298911629723e-13,6.63709443443629e-10"""
6,"6,""ENSMUSG00000114738,2328.46431950346,1.06459050623252,0.146718797396866,7.255992586640849,3.98726922769087e-13,6.63709443443629e-10"""
7,"7,""ENSMUSG00000021922,11504.981348437901,0.5779017177868759,0.0829575481106857,6.96623430836954,3.2553680500057597e-12,4.74144356483339e-09"""
8,"8,""ENSMUSG00000115167,2061.13378713393,0.936674762557146,0.136023387868713,6.886130225349199,5.73305132532257e-12,7.422390449184279e-09"""
9,"9,""ENSMUSG00000005615,1836.8431329431,0.929042925327085,0.13687816554792098,6.787371248059469,1.1419508943866301e-11,1.3306011821393e-08"""
10,"10,""ENSMUSG00000054509,1775.0268783971103,0.9013407272707479,0.135516717909525,6.651140473107611,2.90830536580635e-11,3.0806885565796e-08"""
11,"11,""ENSMUSG00000062031,1510.75816369931,0.9983655800583209,0.15062906446332,6.627974379416241,3.40324518770149e-11,3.30455107725815e-08"""
12,"12,""ENSMUSG00000097911,43288.0951321795,-0.476397110562106,0.0742674528386485,-6.414614913441469,1.41179265851406e-10,1.26540061976968e-07"""
13,"13,""ENSMUSG00000030770,1041.90334709468,1.08156202019734,0.169917886565671,6.365204052719481,1.9503027889086198e-10,1.62320914974023e-07"""
