name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000098903,2608.8289156825,2.85528252816609,0.166800423106969,17.1179573467569,1.0903467148049696e-65,1.3312142163482596e-62"
1,"ENSMUSG00000040432,1382.2591577836902,3.2375425628723997,0.19969385320860503,16.2125298843845,4.11283730482101e-59,3.6823603335830794e-56"
2,"ENSMUSG00000033009,3198.47273554745,2.71065122949939,0.19117787426792604,14.1786869420912,1.24147768451131e-45,5.378401710640949e-43"
3,"ENSMUSG00000109740,4313.912675565471,2.0425988108091797,0.150744769352837,13.550047670498099,7.91787041891533e-42,2.6584249931508195e-39"
4,"ENSMUSG00000018740,3428.84606924866,2.08743112767104,0.156380707522995,13.3483929107054,1.2103191131341798e-40,3.96453309497368e-38"
5,"ENSMUSG00000103252,10781.6146101092,1.86449541428043,0.14258986492678302,13.075932256740801,4.5198837949463794e-39,1.37959180377568e-36"
6,"ENSMUSG00000049612,1771.78795895558,2.63016769012505,0.203267386718005,12.939447555224,2.69560874730564e-38,7.870005538329299e-36"
7,"ENSMUSG00000051255,1474.99179282328,2.4200750692615802,0.19588513909064498,12.3545618646532,4.6025684931423195e-35,1.1238635429618399e-32"
8,"ENSMUSG00000074219,8070.0909406211795,1.8059613026020802,0.14681791580009101,12.3006875064287,8.98064670661394e-35,2.1537515226754495e-32"
9,"ENSMUSG00000031432,1132.12629842968,2.79240898180578,0.22803644697373002,12.2454503166657,1.7768807908293797e-34,3.9772515034731095e-32"
10,"ENSMUSG00000042997,1803.5535329338,2.21873113232025,0.18903253308180898,11.737297787572,8.206682694518679e-32,1.5523344871462802e-29"
11,"ENSMUSG00000040875,3883.1915188485295,1.6307312452645901,0.153757168699163,10.605887576241999,2.79794575526877e-26,4.1751568325844e-24"
12,"ENSMUSG00000114148,3425.50386748914,1.70111288328635,0.160690213640064,10.586288018116198,3.45002768310255e-26,5.03629041131166e-24"
13,"ENSMUSG00000102749,2011.0595513957398,1.84161979751111,0.17529693009723302,10.5057161953128,8.130328638919189e-26,1.1493717223229999e-23"
14,"ENSMUSG00000104509,2643.5662281369896,1.7220173326654398,0.16411057016811903,10.493031197816,9.299615499900039e-26,1.3009774600381e-23"
15,"ENSMUSG00000025931,4471.16369882693,1.81647976813966,0.18014073860748298,10.0836700358916,6.5242694793481505e-24,7.61921209631701e-22"
16,"ENSMUSG00000083199,4087.1381024376,1.8421817608442899,0.18296248650301603,10.0686309858055,7.60289587934986e-24,8.80231824652316e-22"
17,"ENSMUSG00000107168,2581.0542830950303,1.7357807482768401,0.172462846733259,10.0646648316173,7.91564880082708e-24,9.08608234146219e-22"
18,"ENSMUSG00000044359,4082.8791897658202,1.5907921122817201,0.15969061327815,9.961713338221509,2.24165729137996e-23,2.4880543324985897e-21"
19,"ENSMUSG00000114131,1115.25095724704,2.22106612877045,0.22493204241879103,9.874387414466929,5.376043101193409e-23,5.776020707922199e-21"
20,"ENSMUSG00000003541,546.79666074741,2.6850226289873396,0.276815621062995,9.69967886449699,3.02449065798401e-22,3.10068011730727e-20"
