name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000095344,56324.991717218094,6.59225078262692,0.13617509860159,48.4101047131531,0.0,0.0"
1,"ENSMUSG00000043964,15228.294048252099,5.105362315481309,0.16420725756037102,31.0909663271388,3.1905893171680185e-212,2.628088420551299e-208"
2,"ENSMUSG00000074219,6497.095683004871,4.963855384248861,0.16361676047373497,30.338306233888,3.5840383010236588e-202,1.968114899035459e-198"
3,"ENSMUSG00000081128,10962.5121377906,4.26007755342197,0.14979287760511403,28.439787134956102,6.518128995907047e-178,2.684491426964319e-174"
4,"ENSMUSG00000062867,20566.217036674,3.73869822096334,0.135924536137021,27.5056904898648,1.5009812855087696e-166,4.945433139494298e-163"
5,"ENSMUSG00000090118,5599.65564856744,3.92102389660816,0.15268365809809198,25.6807044411334,1.9203478221982096e-145,5.2726350038155484e-142"
6,"ENSMUSG00000107813,8020.450993497329,4.09427450718911,0.17752789436382302,23.0627109157188,1.0966485241831797e-117,2.5808839696276793e-114"
7,"ENSMUSG00000082241,9306.276470564859,3.2886193726007096,0.14311130200928698,22.9794525409832,7.482445513623669e-117,1.5408225923929497e-113"
8,"ENSMUSG00000038080,86303.1947744163,3.5579090201256403,0.156649694191742,22.712518134703103,3.369700259807949e-114,6.168049120008459e-111"
9,"ENSMUSG00000115877,2575.73417588476,-4.05191007117297,0.18107804521146398,-22.376594945241,6.653549506081008e-111,1.0961057456317896e-107"
10,"ENSMUSG00000114755,36660.6427039856,3.18127824796133,0.142259788790615,22.362455863361898,9.134556064260657e-111,1.3680243327511798e-107"
11,"ENSMUSG00000083374,12753.251868146499,-3.8756338094720397,0.177147998300996,-21.877943000444603,4.2142689938254487e-106,5.512486819621409e-103"
12,"ENSMUSG00000105228,35346.0714760018,-3.2531404940872206,0.148704819177926,-21.876496754249896,4.350026020097019e-106,5.512486819621409e-103"
13,"ENSMUSG00000000301,2081.55759570083,4.36420314800619,0.205052852783867,21.283308614126998,1.6209079881139295e-100,1.9073455854420694e-97"
14,"ENSMUSG00000114375,1630.61361911276,-4.57682233825411,0.21795292214642603,-20.9991327171988,6.679373128523949e-98,7.335732861286898e-95"
15,"ENSMUSG00000083708,2633.8467067676897,3.9980039488232406,0.199237684353793,20.0665047969733,1.4483924992196498e-89,1.4913011270090297e-86"
16,"ENSMUSG00000046460,1015.1887221001199,4.92373768142882,0.247802220223585,19.8696269831088,7.455479391899279e-88,7.22479808836169e-85"
17,"ENSMUSG00000092889,2010.2611927824398,-4.20639074238448,0.21178482734144102,-19.8616246271641,8.743598808009589e-88,8.002335931286109e-85"
18,"ENSMUSG00000040865,3898.9570879831,-3.3003198754522596,0.167625908930371,-19.6886024154127,2.7003757264334092e-86,2.341367879856e-83"
19,"ENSMUSG00000100635,2729.9232949388397,-3.35924181039836,0.171246627764354,-19.6163968555392,1.1201704966949798e-85,9.226844381276548e-83"
20,"ENSMUSG00000046709,5934.47422080468,3.39939080271115,0.173849294435364,19.553664648176202,3.83926022167447e-85,3.0118082329459594e-82"
21,"ENSMUSG00000114165,23513.6864495302,2.98783022811127,0.152838971124758,19.5488768742914,4.217027007520049e-85,3.157786496449329e-82"
22,"ENSMUSG00000106536,899.8780453630859,-6.278761281305879,0.322973985783508,-19.4404551378159,3.5103774250099293e-84,2.514345986939719e-81"
23,"ENSMUSG00000020156,6145.75460836198,2.92928102563658,0.15070081067599803,19.437725732839198,3.702174630348489e-84,2.54123436918171e-81"
24,"ENSMUSG00000022094,35222.7696045233,-2.58241158468485,0.13396052608041198,-19.2774070111871,8.314109190568358e-83,5.4786653922169284e-80"
25,"ENSMUSG00000029561,2166.66705424879,-3.48626527304519,0.180930949280638,-19.268484949126698,9.878580886279087e-83,6.2592208277139096e-80"
26,"ENSMUSG00000114131,949.0075420267419,4.83306898711857,0.25164287289744297,19.2060634639483,3.293103781873989e-82,2.00928117417008e-79"
27,"ENSMUSG00000028467,803.445800256911,6.0740494087606205,0.31655449672631397,19.188005451118602,4.661915630029659e-82,2.74287136032531e-79"
28,"ENSMUSG00000103685,4603.04282908518,-2.9781710032622404,0.15544869184310098,-19.158546578624197,8.213488517746388e-82,4.6658279255639284e-79"
29,"ENSMUSG00000096022,11602.989152305401,2.6756421169504603,0.141243034126111,18.9435332758533,4.9931127281885795e-80,2.7418846361392893e-77"
30,"ENSMUSG00000107810,2086.5798993627,-3.45447544932113,0.182783498411131,-18.899274165061897,1.1563229907383999e-79,6.14492417723367e-77"
31,"ENSMUSG00000083199,3583.3272761485205,3.06214005672195,0.162171027441394,18.8821647431972,1.5989627253572396e-79,8.23165998047974e-77"
32,"ENSMUSG00000026032,8715.72693488443,2.95166535830107,0.161782252709018,18.244679554623,2.2807037140317496e-74,1.1385549389381499e-71"
33,"ENSMUSG00000083907,50744.840541778205,2.47312104332232,0.138394604034234,17.8700684219636,2.0174676144593894e-71,9.775223964883518e-69"
34,"ENSMUSG00000115819,2121.7221946302498,3.1654085502395297,0.18046257112924502,17.540526716603697,7.027303496901549e-69,3.3076513659416e-66"
35,"ENSMUSG00000064587,894.30176482071,-4.32861910070996,0.247557724696899,-17.4852919900188,1.8546062972602394e-68,8.486884483629229e-66"
36,"ENSMUSG00000081883,21503.6196287661,2.9630644113076605,0.17167525427501099,17.2597059711416,9.459135350628419e-67,4.2116161017906094e-64"
37,"ENSMUSG00000085202,4922.51883763078,-2.67869613532629,0.15523395454732403,-17.255864821183,1.0109664269695599e-66,4.3828055047095895e-64"
38,"ENSMUSG00000082660,2359.6349114592604,2.9883131148665805,0.17499732669051699,17.0763358011258,2.2267061627609598e-65,9.405835211621558e-63"
39,"ENSMUSG00000054594,1214.1612516908801,-3.95383759862471,0.23519384015890402,-16.8109742838221,2.0281047275232194e-63,8.352749320304369e-61"
40,"ENSMUSG00000024538,6701.74268129348,2.7646761208620094,0.165271333119018,16.7281044370294,8.180048218911008e-63,3.2867832770326796e-60"
41,"ENSMUSG00000033520,2114.81852810799,-3.3670216342013597,0.201712331058037,-16.6921953483974,1.4937549074911499e-62,5.859075796668879e-60"
42,"ENSMUSG00000040950,4114.53612367221,-2.61475387164942,0.15693091068933898,-16.661815445814902,2.4836956085202194e-62,9.515442198781878e-60"
43,"ENSMUSG00000065514,4870.67347867231,-2.5659246136441403,0.154559753525204,-16.601505599746698,6.79645366026321e-62,2.5446540363449097e-59"
44,"ENSMUSG00000078370,2833.4547667104302,3.3413599205074704,0.20146620040849303,16.5852133694512,8.914851879309519e-62,3.2636282191054395e-59"
45,"ENSMUSG00000099662,44251.8032224104,2.15148150832413,0.132260515777479,16.2669977179273,1.6925552410749297e-59,6.061555443797479e-57"
46,"ENSMUSG00000034707,4166.455819556861,2.57034184230717,0.15836228460171803,16.2307701532066,3.0560090217055794e-59,1.0711636728420799e-56"
47,"ENSMUSG00000024054,2033.82307276999,3.1020806992370598,0.193628803345737,16.020760577123898,9.152389531200519e-58,3.1411763570207796e-55"
48,"ENSMUSG00000048000,40022.976877216,2.14874143087466,0.134331173515862,15.9958509602459,1.3657924323045798e-57,4.5918499040378794e-55"
49,"ENSMUSG00000039670,9864.3038885961,2.8287398962111903,0.178187055000579,15.8751144756391,9.423881441511108e-57,3.1049804573490796e-54"
