name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000090118,64537.548063488604,5.266254342456071,0.0898072268534126,58.639538564662296,0.0,0.0"""
1,"1,""ENSMUSG00000098082,6229.41842701704,5.56426075085464,0.134309886303121,41.428526998353604,0.0,0.0"""
2,"2,""ENSMUSG00000114165,137821.833222096,3.6204690534366604,0.0856476219620681,42.2716821611241,0.0,0.0"""
3,"3,""ENSMUSG00000109565,20505.746327458997,4.82254332507462,0.121644762468392,39.6444797722195,0.0,0.0"""
4,"4,""ENSMUSG00000020801,40097.9389801051,4.66829508905683,0.0924705937130451,50.4841042066139,0.0,0.0"""
5,"5,""ENSMUSG00000032518,17380.1399195661,3.66820275986439,0.0986588288287278,37.18068421663921,1.400397133985689e-302,3.8678968840684676e-299"""
6,"6,""ENSMUSG00000020477,21923.7520600077,3.66482430479885,0.0993568973478984,36.88545438336771,7.906165390873775e-298,1.871728183679429e-294"""
7,"7,""ENSMUSG00000087088,32253.1261712002,3.1999928226928596,0.0905930934744281,35.32270176419271,2.6326299500332185e-273,5.453492941493808e-270"""
8,"8,""ENSMUSG00000025758,91282.7944267569,2.95104303109878,0.0851175115552281,34.670222110335104,2.2149418315201685e-263,4.0784462257724775e-260"""
9,"9,""ENSMUSG00000021759,6820.98691651672,3.7285390024639202,0.10909238568136,34.1778115784756,5.1663136533886876e-256,8.561614986395737e-253"""
10,"10,""ENSMUSG00000103771,4678.17494442279,4.28853318954349,0.125513252897277,34.1679710353242,7.233526608864285e-256,1.0897636632918094e-252"""
11,"11,""ENSMUSG00000087040,10404.0487861027,3.1506704691621805,0.0984818188998278,31.992407373861898,1.3905946123218096e-224,1.920411159616419e-221"""
12,"12,""ENSMUSG00000030867,7257.531563910591,3.82053811273508,0.12253826917508001,31.178326072782802,2.0960944915904985e-213,2.4811769939026988e-210"""
13,"13,""ENSMUSG00000109154,11917.936181596699,3.18488298452902,0.10286486678761199,30.961815087992395,1.7617123923415493e-210,1.9463398510589393e-207"""
14,"14,""ENSMUSG00000109910,6867.41133557599,3.9900829709601098,0.129917775236231,30.712371449594897,3.8912091571103775e-207,4.0303198844770685e-204"""
15,"15,""ENSMUSG00000043964,37256.2346651782,3.3204275322192403,0.113010698318386,29.3815327365253,9.455739949315606e-190,9.217677790591666e-187"""
16,"16,""ENSMUSG00000113162,69876.6588124991,2.46536293496981,0.0845329669131421,29.164514449173197,5.468719804068108e-187,5.034868032945368e-184"""
17,"17,""ENSMUSG00000084216,7095.803710402741,3.06564112178939,0.107056202515671,28.635810441161798,2.4080847576767986e-180,2.1003568739063095e-177"""
18,"18,""ENSMUSG00000081895,2396.54742916358,4.42043626867806,0.15445678495361098,28.619243045915198,3.871695769798148e-180,3.2080871148547395e-177"""
19,"19,""ENSMUSG00000103830,9412.30677396117,2.85908769059066,0.10107090895905199,28.287938834595604,4.863517490785568e-176,3.838010088442779e-173"""
20,"20,""ENSMUSG00000067995,16813.5200358145,2.50125333076342,0.0926077832735101,27.009104875949397,1.1553579952657798e-160,8.702996680702046e-158"""
21,"21,""ENSMUSG00000079593,5570.70319852919,3.13560229999626,0.116189672548765,26.9869277639994,2.104267604435909e-160,1.5161705539439993e-157"""
22,"22,""ENSMUSG00000022587,9215.50122619095,2.61811064428487,0.0997295546735487,26.2521040312965,6.763008394376877e-152,4.669857296317239e-149"""
23,"23,""ENSMUSG00000104077,3445.52914950721,4.0053730951934305,0.153486586045671,26.095916251610497,4.0564498537346484e-150,2.6889394790436293e-147"""
24,"24,""ENSMUSG00000095648,31920.3985493945,2.25667554224752,0.0875835559210084,25.765973058719002,2.134842752622729e-146,1.3607159267870696e-143"""
25,"25,""ENSMUSG00000053604,23658.979949971097,2.28979473534613,0.0889905064088009,25.730775424822998,5.291161218005308e-146,3.24759717425126e-143"""
26,"26,""ENSMUSG00000112831,5424.4532233726895,3.0076142609620202,0.117414289794367,25.615402232806503,1.0277111685341697e-144,6.0825819589100876e-142"""
27,"27,""ENSMUSG00000110654,2405.38372104054,3.96660723083908,0.15495830823058898,25.5978996940035,1.6099401613574396e-144,9.199975294488087e-142"""
28,"28,""ENSMUSG00000022323,11811.835017019599,2.92238471616664,0.114921120619313,25.4294832874742,1.1906888208278495e-142,6.577365046253029e-140"""
29,"29,""ENSMUSG00000088982,22447.629071426603,2.47164011894577,0.09722265127537699,25.4224718882126,1.4234429816759196e-142,7.609450674946257e-140"""
30,"30,""ENSMUSG00000114274,17651.834368141,2.3586968281416403,0.09308551403635901,25.3390320992409,1.1871262445812296e-141,6.147830039125059e-139"""
31,"31,""ENSMUSG00000056457,7232.406665931271,2.60280563272754,0.104241226077564,24.969061960100497,1.3259161851621797e-137,6.103634172363228e-135"""
32,"32,""ENSMUSG00000024777,16987.220023412,2.47475321577453,0.0999323254589728,24.764291278206397,2.1751729733336494e-135,9.242811926688506e-133"""
33,"33,""ENSMUSG00000086935,5995.362011091801,3.3599045271461296,0.136728038583671,24.573632167553,2.4181525858087393e-133,1.0018406163005597e-130"""
34,"34,""ENSMUSG00000024353,2732.31036358122,3.2963047243938703,0.135611487720738,24.3069726598818,1.6542737782312896e-130,6.686493915329018e-128"""
35,"35,""ENSMUSG00000113478,3038.52253119551,3.1514249076845497,0.13163452748769802,23.9407165265137,1.1544899664058699e-126,4.348229028017749e-124"""
36,"36,""ENSMUSG00000050310,1813.36636712582,4.32506233737005,0.18096514437654102,23.899974507636298,3.064606459318669e-126,1.1285924054184197e-123"""
37,"37,""ENSMUSG00000113611,12048.1018646075,2.33626760610231,0.0978507885982502,23.8758178607473,5.462892289441598e-126,1.9680663265353495e-123"""
38,"38,""ENSMUSG00000022092,11026.3524702947,2.40676480221319,0.100842983122613,23.866457810821,6.833275663088597e-126,2.4093839210362594e-123"""
39,"39,""ENSMUSG00000091569,1445.92820986178,4.93369357214969,0.20716397427350897,23.815403182195897,2.312994298187439e-125,7.985612814492139e-123"""
40,"40,""ENSMUSG00000082317,6349.22165366156,2.68337625836715,0.11423774085398801,23.489402349061603,5.234257550948489e-122,1.6681176179676595e-119"""
41,"41,""ENSMUSG00000117508,7502.9217095309305,2.4504758101509503,0.10458142810364698,23.4312712551828,2.0521414996607792e-121,6.416620553278948e-119"""
42,"42,""ENSMUSG00000021697,8231.842462399829,2.37537047346652,0.105492829214759,22.5168904004917,2.835828069399839e-112,8.392025493945378e-110"""
43,"43,""ENSMUSG00000092558,33800.8953627187,2.32965977441397,0.104806573412416,22.228183772850798,1.8340599597131194e-109,5.1515324834518494e-107"""
44,"44,""ENSMUSG00000106151,10404.505597710699,2.23735419703823,0.10071606210952001,22.2144725496248,2.488868558815969e-109,6.874254959449709e-107"""
45,"45,""ENSMUSG00000028636,3639.71065839894,3.2238878162171103,0.14644362183172302,22.0145321174973,2.0901707971680393e-107,5.586824266236897e-105"""
46,"46,""ENSMUSG00000097777,2461.61463257795,4.49541177030243,0.204231795237136,22.0113218173632,2.2435493148420893e-107,5.901603054851299e-105"""
47,"47,""ENSMUSG00000073051,8091.044784774059,2.23615208808385,0.10301197403069699,21.707690869194302,1.7356105883418195e-104,4.494146667187609e-102"""
48,"48,""ENSMUSG00000001305,14740.0763608097,2.2601077029188303,0.10768267540876299,20.9885916591454,8.337984404916848e-98,2.0935920842163994e-95"""
49,"49,""ENSMUSG00000083732,1567.27873397207,3.4594363219377295,0.16621289207214301,20.8132851718637,3.2807465111361094e-96,8.114706146648898e-94"""
50,"50,""ENSMUSG00000101559,2782.50670060237,3.20600626462305,0.15572261046873,20.587930390923102,3.5209047916846093e-94,8.103949195527398e-92"""
51,"51,""ENSMUSG00000115615,8679.33749471326,2.1337926637704,0.103786609392996,20.5594216464922,6.338403294462289e-94,1.4389043752853299e-91"""
52,"52,""ENSMUSG00000025223,18453.507828606,1.85430903878608,0.090965258178152,20.384804879622102,2.2812425024896597e-92,5.040633433501139e-90"""
53,"53,""ENSMUSG00000030124,5543.70766368985,2.2707924074622796,0.111402155351015,20.3837385399527,2.3314930874002394e-92,5.083882032157468e-90"""
54,"54,""ENSMUSG00000020656,5270.838275455971,2.24655816249253,0.110779815771365,20.279489967099604,1.9514417527265397e-91,4.1999081462576884e-89"""
55,"55,""ENSMUSG00000086436,914.3760814386699,5.43451516305912,0.268213500254794,20.2619001575107,2.789855211062109e-91,5.927369302271948e-89"""
