name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000084007,3434.8221389905702,-3.68700943155047,0.14861018671140802,-24.809937415060396,7.003581686021868e-136,8.762881405550558e-132"""
1,"1,""ENSMUSG00000108162,3949.08162081606,-3.22889688210762,0.140844196352678,-22.925310135054197,2.598727141766829e-116,1.6257636998893293e-112"""
2,"2,""ENSMUSG00000015656,2917.6688305849702,-3.5127624501479797,0.15520604330352,-22.632897375513,2.0563963870006995e-113,8.576543864717569e-110"""
3,"3,""ENSMUSG00000088493,6619.8530411655,-2.7619743452480203,0.129059295115873,-21.4008169095318,1.3128759457757297e-101,4.10667595838647e-98"""
4,"4,""ENSMUSG00000020941,8909.03474906563,-2.6201164758025297,0.124343765456179,-21.0715548639704,1.4508823532206598e-98,3.630688000699369e-95"""
5,"5,""ENSMUSG00000032968,3666.1461943789,-2.84213521547379,0.143535820899203,-19.8008775626097,2.925527724627819e-87,6.100700481757199e-84"""
6,"6,""ENSMUSG00000019851,1340.94276539487,-3.7137025403862705,0.191774791311358,-19.3649150391035,1.5260643263241996e-83,2.7277309787097697e-80"""
7,"7,""ENSMUSG00000098179,6148.268306638629,-2.78684877734237,0.14554820062621301,-19.147256821809602,1.02021208979991e-81,1.5956117084470497e-78"""
8,"8,""ENSMUSG00000094377,8135.105593118969,-2.40605718832428,0.125741229616083,-19.1349901354594,1.29103742240074e-81,1.7948289143420097e-78"""
9,"9,""ENSMUSG00000078956,5995.18421717482,-2.40743503614088,0.130085763268281,-18.506521971785,1.82937794845407e-76,2.2889176891057396e-73"""
10,"10,""ENSMUSG00000020380,1629.0507166722698,-3.5113448398989395,0.19017814077573,-18.463451296643697,4.065161364500109e-76,4.62393627205686e-73"""
11,"11,""ENSMUSG00000079311,1498.8673622682002,-3.6688064205736297,0.20141872928537802,-18.2148225916742,3.936913922848039e-74,4.104888916889549e-71"""
12,"12,""ENSMUSG00000088763,7355.214720693579,-2.34679505881965,0.13040758170041,-17.9958483104995,2.0998201357654494e-72,2.0209961183613295e-69"""
13,"13,""ENSMUSG00000111397,1644.97162311121,-3.1234929771329396,0.17464961643571697,-17.884339175074,1.56193987860523e-71,1.3959279829363299e-68"""
14,"14,""ENSMUSG00000040430,2606.44748011258,-2.94870658985212,0.166452144556072,-17.7150411472097,3.209926866499459e-70,2.6775069969094198e-67"""
15,"15,""ENSMUSG00000021759,3627.78968937457,2.7157281555106803,0.153960253641022,17.639150958030697,1.2329964181143697e-69,9.642031989654349e-67"""
16,"16,""ENSMUSG00000108446,2962.44984682645,-2.6657081245031002,0.15117030409281002,-17.6338080451734,1.3552399473788696e-69,9.974566012708498e-67"""
17,"17,""ENSMUSG00000038025,1820.8948853588602,-3.0364025398688104,0.172448814234972,-17.6075582388843,2.15544739869176e-69,1.4982754362461796e-66"""
18,"18,""ENSMUSG00000095812,5045.0781884315,-2.67370073625335,0.152051570327064,-17.584170492302,3.25713065154056e-69,2.1449062480039698e-66"""
19,"19,""ENSMUSG00000077804,6534.3602086964,-2.16760577658557,0.128303682714548,-16.8943379544926,4.95241408109683e-64,3.0982302491341797e-61"""
20,"20,""ENSMUSG00000107358,8614.67545214802,-2.1123546523634897,0.125217665695302,-16.8694619935144,7.54807075041936e-64,4.497212439487959e-61"""
21,"21,""ENSMUSG00000103785,3090.1995475904805,-2.7998856616129304,0.166635373508074,-16.802468783599902,2.3409430354196698e-63,1.3313581481441296e-60"""
